GPCR	194bip	194bin	301bip	301bin	304bip	304bin	312bip	312bin	390bip	390bin	401bip	401bin	413bip	413bin	655bip	655bin	661bip	661bin	IP_Z_3sn6	IP_Z_6gdg	IP_Z_6li3	IP_Z_6ni3	TILL	E_TIL	R_TIL	C_CTL	O
LTB4R	1.61669	2.40049	2.89046	2.76973	1.66476	1.29664	1.90936	0.9644	1.65716	1.49482	2.86252	2.94724	2.44942	1.01673	1.01955	1.07356	2.9814	2.89421	0.344	2.793	-1.278	1.625	7	0	4	1	0
C5AR1	3.1864	3.50331	1.84166	2.09332	4.2423	2.19849	1.90936	0.9644	1.65716	1.49482	2.38096	1.39227	2.80858	2.52548	1.81059	0.81813	1.84985	1.22341	-1.433	0.323	-2.723	-0.685	7	0	3	0	0
GNRHR	1.17873	1.34029	1.93882	1.65863	2.00628	2.25244	1.90936	0.9644	2.80265	1.87513	2.38096	1.39227	2.44942	1.01673	3.86106	3.91648	1.79594	1.48233	1.906	1.672	0.582	1.783	23	1	2	0	0
CCR5	1.17873	1.34029	2.58068	1.75177	1.66476	1.29664	1.90936	0.9644	2.12734	1.91658	2.38096	1.39227	2.44942	1.01673	1.01955	1.07356	1.0263	1.34945	-1.045	0.34	-2.893	-0.532	8	1	2	3	0
CCR6	1.17873	1.34029	1.84166	2.09332	4.2423	2.19849	3.41674	3.26409	2.66492	2.00579	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	2.9814	2.89421	-1.319	-0.137	-2.402	-0.844	7	0	0	2	0
PTGER3	1.0795	1.46817	2.89046	2.76973	2.3477	1.68185	1.63378	2.19866	1.65716	1.49482	2.38096	1.39227	2.44942	1.01673	1.01955	1.07356	1.79594	1.48233	-1.328	0.96	-3.12	-0.772	20	0	3	3	0
CYSLTR2	3.72302	2.32705	2.58068	1.75177	2.00628	2.25244	3.53107	3.5907	1.65716	1.49482	2.38096	1.39227	2.44942	1.01673	2.53103	3.35015	1.0263	1.34945	0.283	1.349	-1.521	0.74	13	2	1	1	0
OPRL1	1.0795	1.46817	1.96653	1.96641	1.54974	2.51191	1.90936	0.9644	2.80265	1.87513	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	4.56707	4.41244	-1.345	-0.324	-3.691	-0.896	15	1	4	4	0
CYSLTR1	3.72302	2.32705	2.89046	2.76973	2.00628	2.25244	1.90936	0.9644	2.80265	1.87513	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.79594	1.48233	0.195	1.687	-1.44	0.702	11	0	0	1	0
CNR1	1.0795	1.46817	1.93882	1.65863	2.5749	2.60312	1.63378	2.19866	2.12734	1.91658	2.70771	2.64508	1.47167	2.17501	1.01955	1.07356	1.84985	1.22341	3.027	2.776	-0.845	2.02	36	1	4	3	0
CNR2	1.0795	1.46817	2.58068	1.75177	1.66476	1.29664	1.63378	2.19866	2.66492	2.00579	2.42785	2.7564	1.47167	2.17501	1.81059	0.81813	1.84985	1.22341	0.859	1.656	-1.903	0.922	23	0	3	3	0
P2RY2	3.72302	2.32705	1.96653	1.96641	1.66476	1.29664	1.90936	0.9644	2.773	3.14771	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.0263	1.34945	0.308	1.086	-1.577	0.745	14	0	1	0	0
F2R	3.72302	2.32705	1.96653	1.96641	1.54974	2.51191	1.90936	0.9644	2.66492	2.00579	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.84985	1.22341	-0.496	0.759	-2.306	0.179	10	0	1	4	0
S1PR1	1.0795	1.46817	1.96653	1.96641	1.66476	1.29664	1.63378	2.19866	3.27426	3.33359	1.76658	1.8246	1.91887	2.18692	1.81059	0.81813	2.9814	2.89421	2.627	2.497	-0.079	2.125	22	1	6	3	0
GPR183	4.87813	3.48669	3.49548	2.96208	2.00628	2.25244	1.90936	0.9644	2.12734	1.91658	2.38096	1.39227	2.44942	1.01673	1.01955	1.07356	1.0263	1.34945	0.091	1.637	-1.218	0.812	15	1	1	1	0
PTGER1	1.61669	2.40049	1.93882	1.65863	1.66476	1.29664	2.75269	3.01719	1.65716	1.49482	2.38096	1.39227	2.44942	1.01673	1.01955	1.07356	1.84985	1.22341	-0.606	1.409	-2.682	-0.197	62	0	15	0	0
ADRA2B	1.17873	1.34029	2.54186	2.7441	2.3477	1.68185	1.90936	0.9644	2.66492	2.00579	1.9406	2.24568	1.47167	2.17501	1.81059	0.81813	1.0263	1.34945	1.706	2.389	-1.204	1.794	166	23	14	1	0
ADRA2C	1.17873	1.34029	1.96653	1.96641	2.3477	1.68185	1.90936	0.9644	2.66492	2.00579	1.9406	2.24568	1.47167	2.17501	1.81059	0.81813	1.0263	1.34945	1.195	2.572	-0.599	1.696	139	9	25	0	0
AVPR1A	1.0795	1.46817	1.96653	1.96641	1.66476	1.29664	1.90936	0.9644	2.12734	1.91658	2.38096	1.39227	2.43473	2.3398	1.01955	1.07356	1.79594	1.48233	1.703	2.231	0.768	2.316	42	1	3	3	0
CXCR2	1.17873	1.34029	2.48795	3.2257	4.2423	2.19849	1.90936	0.9644	2.80265	1.87513	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.0263	1.34945	-1.657	-0.155	-2.632	-1.165	7	0	0	0	0
HTR2A	1.17873	1.34029	1.96653	1.96641	2.5749	2.60312	1.90936	0.9644	2.66492	2.00579	2.42785	2.7564	2.44942	1.01673	1.81059	0.81813	1.79594	1.48233	1.123	1.724	0.286	1.365	56	3	5	3	0
LTB4R2	1.61669	2.40049	1.96653	1.96641	2.3477	1.68185	1.90936	0.9644	2.12734	1.91658	2.38096	1.39227	2.44942	1.01673	1.01955	1.07356	1.0263	1.34945	-0.422	1.473	-2.771	0.279	10	0	3	0	0
HTR2B	1.17873	1.34029	1.84166	2.09332	2.3477	1.68185	1.90936	0.9644	2.66492	2.00579	2.42785	2.7564	2.44942	1.01673	1.81059	0.81813	1.0263	1.34945	1.446	2.04	0.304	1.731	74	3	5	1	0
GPR84	1.0795	1.46817	2.48795	3.2257	1.66476	1.29664	1.90936	0.9644	2.12734	1.91658	2.22716	3.20945	1.91887	2.18692	1.81059	0.81813	1.0263	1.34945	1.068	1.047	0.139	0.844	108	9	8	0	0
CHRM4	1.17873	1.34029	1.96653	1.96641	1.66476	1.29664	1.90936	0.9644	1.47092	2.2183	1.76658	1.8246	2.806	3.01042	1.01955	1.07356	1.0263	1.34945	1.804	2.253	0.543	2.374	172	13	15	2	0
OPRK1	1.0795	1.46817	3.06696	3.75767	2.3477	1.68185	3.41674	3.26409	2.12734	1.91658	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.79594	1.48233	-1.676	-1.05	-3.794	-1.396	15	1	3	2	0
HTR2C	1.17873	1.34029	2.58068	1.75177	1.54974	2.51191	1.90936	0.9644	2.66492	2.00579	2.42785	2.7564	2.44942	1.01673	1.81059	0.81813	1.84985	1.22341	1.496	2.107	0.936	1.547	64	6	9	1	0
NPFFR2	1.0795	1.46817	2.58068	1.75177	1.66476	1.29664	1.90936	0.9644	1.65716	1.49482	2.98299	2.5595	2.44942	1.01673	1.81059	0.81813	1.0263	1.34945	2.152	1.52	0.171	1.796	22	1	3	1	0
CXCR4	5.42487	4.01668	2.89046	2.76973	2.00628	2.25244	1.90936	0.9644	2.80265	1.87513	2.38096	1.39227	2.44942	1.01673	1.81553	2.41932	2.9814	2.89421	-1.411	-0.313	-2.501	-1.047	7	0	0	0	0
CHRM3	1.17873	1.34029	1.93882	1.65863	1.66476	1.29664	1.90936	0.9644	1.47092	2.2183	1.76658	1.8246	2.80858	2.52548	1.01955	1.07356	1.84985	1.22341	1.578	2.314	0.585	1.901	227	17	12	3	0
NPFFR1	1.0795	1.46817	1.84166	2.09332	1.54974	2.51191	1.90936	0.9644	1.65716	1.49482	2.98299	2.5595	2.44942	1.01673	1.81059	0.81813	1.0263	1.34945	1.129	1.918	-1.062	1.263	21	2	3	2	0
HCAR3	1.17873	1.34029	1.93882	1.65863	4.2423	2.19849	4.43838	3.60866	2.66492	2.00579	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.84985	1.22341	0.206	2.046	-1.357	0.988	10	0	3	4	0
HCAR2	1.17873	1.34029	1.93882	1.65863	4.2423	2.19849	4.43838	3.60866	2.66492	2.00579	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.84985	1.22341	0.248	2.052	-1.281	1.028	10	0	3	1	0
OPRM1	1.0795	1.46817	3.06696	3.75767	2.00628	2.25244	1.90936	0.9644	2.80265	1.87513	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.79594	1.48233	-1.528	-0.889	-3.881	-1.283	15	1	2	2	0
FFAR2	1.17873	1.34029	1.84166	2.09332	1.66476	1.29664	2.00386	2.81017	2.66492	2.00579	2.38096	1.39227	2.49793	3.47808	2.53103	3.35015	1.79594	1.48233	-0.052	1.418	-1.705	0.448	10	0	1	0	0
FFAR3	1.17873	1.34029	1.96653	1.96641	2.3477	1.68185	2.31341	2.2526	2.12734	1.91658	2.38096	1.39227	2.44942	1.01673	2.53103	3.35015	1.79594	1.48233	-0.037	1.278	-2.009	-0.017	8	0	3	3	0
GHSR	1.17873	1.34029	1.84166	2.09332	1.54974	2.51191	1.90936	0.9644	2.66492	2.00579	1.76658	1.8246	2.44942	1.01673	1.81059	0.81813	1.0263	1.34945	-1.158	0.125	-2.995	-0.938	18	0	5	0	0
MTNR1A	1.61669	2.40049	1.93882	1.65863	2.3477	1.68185	1.90936	0.9644	1.65716	1.49482	2.38096	1.39227	1.91887	2.18692	1.81059	0.81813	1.84985	1.22341	1.895	2.675	0.896	2.354	18	0	3	1	0
F2RL1	3.72302	2.32705	1.96653	1.96641	2.3477	1.68185	1.90936	0.9644	1.65716	1.49482	2.70771	2.64508	2.44942	1.01673	1.81059	0.81813	1.84985	1.22341	-0.294	0.971	-1.554	0.634	12	2	1	1	0
FFAR4	1.61669	2.40049	1.93882	1.65863	4.2423	2.19849	1.90936	0.9644	1.65716	1.49482	2.86252	2.94724	2.806	3.01042	1.81553	2.41932	1.84985	1.22341	1.429	0.924	0.677	0.99	40	3	4	3	0
BDKRB1	1.17873	1.34029	1.93882	1.65863	1.66476	1.29664	1.90936	0.9644	1.65716	1.49482	2.22716	3.20945	2.44942	1.01673	1.81553	2.41932	1.79594	1.48233	0.463	2.403	-1.495	1.047	15	2	5	1	0
BDKRB2	1.17873	1.34029	1.84166	2.09332	4.2423	2.19849	1.90936	0.9644	1.65716	1.49482	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.84985	1.22341	0.2	1.807	-1.41	1.119	13	2	1	2	0
APLNR	1.0795	1.46817	1.84166	2.09332	1.66476	1.29664	1.90936	0.9644	2.12734	1.91658	2.38096	1.39227	2.43473	2.3398	1.81553	2.41932	1.0263	1.34945	0.851	2.461	-1.326	1.31	14	2	3	4	0
CXCR5	1.17873	1.34029	2.54186	2.7441	2.3477	1.68185	1.90936	0.9644	1.65716	1.49482	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.0263	1.34945	-1.327	0.065	-2.759	-0.57	8	0	3	2	0
NPY5R	1.0795	1.46817	2.54186	2.7441	2.5749	2.60312	1.90936	0.9644	2.80265	1.87513	2.86252	2.94724	2.43473	2.3398	1.81553	2.41932	1.79594	1.48233	1.577	1.752	0.779	2.159	124	11	11	1	0
DRD2	1.0795	1.46817	2.58068	1.75177	1.66476	1.29664	1.90936	0.9644	1.47092	2.2183	1.9406	2.24568	2.44942	1.01673	1.81059	0.81813	1.84985	1.22341	1.805	3.416	-0.177	3.116	151	8	19	1	0
LPAR2	1.17873	1.34029	2.89046	2.76973	1.66476	1.29664	1.63378	2.19866	1.65716	1.49482	1.9406	2.24568	1.91887	2.18692	1.01955	1.07356	1.79594	1.48233	2.003	2.737	-1.313	1.946	20	2	6	4	0
SSTR2	1.0795	1.46817	1.96653	1.96641	4.2423	2.19849	1.90936	0.9644	1.65716	1.49482	2.38096	1.39227	1.91887	2.18692	1.81059	0.81813	3.18591	3.56969	-1.595	-0.789	-4.22	-1.093	15	0	2	1	0
OPRD1	1.0795	1.46817	3.06696	3.75767	1.66476	1.29664	1.90936	0.9644	2.12734	1.91658	2.38096	1.39227	2.44942	1.01673	1.81059	0.81813	1.79594	1.48233	-1.488	-0.863	-3.756	-1.303	15	1	3	4	0
OXTR	3.72302	2.32705	1.96653	1.96641	2.3477	1.68185	1.90936	0.9644	2.80265	1.87513	2.38096	1.39227	2.43473	2.3398	1.01955	1.07356	1.79594	1.48233	1.593	2.398	0.805	1.639	42	2	3	3	0
HTR1D	1.0795	1.46817	2.58068	1.75177	1.54974	2.51191	1.90936	0.9644	1.47092	2.2183	1.76658	1.8246	1.47167	2.17501	1.01955	1.07356	1.84985	1.22341	1.53	1.995	-1.604	1.493	71	2	6	0	0
AGTR1	1.17873	1.34029	2.58068	1.75177	2.3477	1.68185	1.90936	0.9644	1.65716	1.49482	2.86252	2.94724	2.44942	1.01673	1.01955	1.07356	3.18591	3.56969	0.15	1.289	-2.224	0.647	12	1	1	1	0
LPAR1	3.72302	2.32705	1.84166	2.09332	2.5749	2.60312	2.00386	2.81017	2.12734	1.91658	1.76658	1.8246	1.91887	2.18692	1.81059	0.81813	1.84985	1.22341	2.683	3.353	0.405	2.689	20	0	7	2	0
HTR1A	1.0795	1.46817	1.93882	1.65863	2.3477	1.68185	1.90936	0.9644	1.47092	2.2183	1.76658	1.8246	1.47167	2.17501	1.01955	1.07356	1.0263	1.34945	1.739	2.68	0.091	2.064	117	10	12	2	0
HTR1B	1.0795	1.46817	1.93882	1.65863	1.66476	1.29664	1.90936	0.9644	1.47092	2.2183	1.76658	1.8246	1.47167	2.17501	1.01955	1.07356	1.79594	1.48233	1.451	1.621	-1.131	2.013	73	2	8	1	0
