GPCR	164pos	169bip	169bin	193bip	193bin	194bip	194bin	199bip	199bin	269bip	269bin	270bip	270bin	276bip	276bin	346pos	398bip	398bin	655bip	655bin	660bip	660bin	671bip	671bin	703pos	734bip	734bin	IP_Z_6u1n	K_TIL	V_TIL	C_CTL	F_CTL	W_CTL	O
MC4R	1	1.24589	1.8239	0.73922	1.79965	1.15562	1.58574	1.32051	1.94234	1.20678	0.97653	1.08553	1.60184	0.78374	1.02319	0	1.28564	1.91829	2.23041	2.03887	1.64318	2.08755	1.68502	1.44638	1	0.83221	1.24499	1.423	0	0	3	1	0	1
CYSLTR1	1	1.29536	1.35309	1.56254	2.01476	2.33312	3.61116	1.32051	1.94234	0.64233	1.3477	2.17655	3.74131	0.78374	1.02319	0	1.59316	1.96026	0.96446	1.42837	1.89838	1.92052	1.92677	1.45342	1	1.68971	1.26976	1.255	4	0	1	4	0	1
CNR1	1	1.29536	1.35309	0.73922	1.79965	1.15562	1.58574	1.32051	1.94234	1.20678	0.97653	1.59542	1.61653	0.78374	1.02319	0	1.59316	1.96026	1.08764	1.18943	1.23214	2.45767	1.67012	1.55083	0	0.83221	1.24499	1.466	2	3	3	2	0	1
CNR2	1	1.29536	1.35309	0.73922	1.79965	1.15562	1.58574	3.96798	4.76957	1.20678	0.97653	1.59542	1.61653	2.82509	1.66748	0	1.59316	1.96026	0.96446	1.42837	1.89838	1.92052	2.63832	2.65873	0	0.83221	1.24499	0.153	0	2	3	0	2	1
P2RY2	0	1.29536	1.35309	1.56254	2.01476	2.33312	3.61116	1.32051	1.94234	0.64233	1.3477	1.08553	1.60184	0.93604	1.00593	0	1.59316	1.96026	0.96446	1.42837	2.1099	1.69308	1.68502	1.44638	1	1.68971	1.26976	0.669	1	0	0	2	0	1
F2R	0	1.24589	1.8239	1.56254	2.01476	2.33312	3.61116	3.0873	2.93971	0.64233	1.3477	1.59542	1.61653	0.93604	1.00593	1	3.38545	3.0773	0.96446	1.42837	1.23214	2.45767	3.07873	3.87573	1	0.83221	1.24499	1.035	1	1	4	0	0	1
PTGER4	1	1.24589	1.8239	1.74845	1.32697	1.91785	2.00647	1.32051	1.94234	0.64233	1.3477	1.08553	1.60184	0.78374	1.02319	1	2.32527	2.33954	2.67643	2.6796	1.89838	1.92052	1.67012	1.55083	1	0.83221	1.24499	0.915	0	1	4	3	0	1
S1PR1	1	1.29536	1.35309	0.73922	1.79965	1.15562	1.58574	1.96388	1.20556	1.20678	0.97653	1.59542	1.61653	3.70426	4.27518	0	1.59316	1.96026	0.96446	1.42837	1.23214	2.45767	1.67012	1.55083	0	0.83221	1.24499	-0.127	3	0	3	3	0	1
PTGER2	0	5.85056	5.24664	1.74845	1.32697	1.91785	2.00647	2.99824	3.97219	1.20678	0.97653	1.64728	1.18568	0.78374	1.02319	1	2.24821	2.00702	3.70048	3.78406	2.1099	1.69308	1.68502	1.44638	0	1.6956	1.13547	-2.804	0	1	3	1	0	1
ADRA2A	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	3.03281	4.10476	0.64233	1.3477	1.64728	1.18568	0.78374	1.02319	1	1.28564	1.91829	0.96446	1.42837	1.64318	2.08755	1.68502	1.44638	0	0.83221	1.24499	1.699	5	4	1	0	0	1
ADRA2B	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	2.62663	1.91853	0.64233	1.3477	1.64728	1.18568	0.93604	1.00593	1	1.28564	1.91829	0.96446	1.42837	1.64318	2.08755	1.68502	1.44638	0	0.83221	1.24499	1.273	7	8	1	2	2	1
ADRA2C	1	2.15777	2.30906	0.73922	1.79965	1.22773	1.55428	3.03281	4.10476	0.64233	1.3477	1.64728	1.18568	0.93604	1.00593	1	1.28564	1.91829	0.96446	1.42837	1.64318	2.08755	1.68502	1.44638	0	0.83221	1.24499	2.685	3	5	0	5	0	1
AVPR1A	1	1.29536	1.35309	0.73922	1.79965	1.15562	1.58574	1.96388	1.20556	3.08428	3.63438	3.36313	3.29592	0.93604	1.00593	1	2.19295	1.71446	1.08764	1.18943	1.23214	2.45767	1.68502	1.44638	1	0.83221	1.24499	1.951	4	4	3	6	1	1
CXCR2	1	2.40863	2.81089	1.56254	2.01476	1.22773	1.55428	1.96388	1.20556	0.64233	1.3477	1.08553	1.60184	0.78374	1.02319	1	1.28564	1.91829	0.96446	1.42837	1.89838	1.92052	1.92677	1.45342	1	0.83221	1.24499	0.34	1	0	0	3	0	1
HTR2A	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	2.0517	1.5411	0.64233	1.3477	1.64728	1.18568	0.78374	1.02319	1	1.28564	1.91829	0.96446	1.42837	1.64318	2.08755	1.68502	1.44638	1	1.6956	1.13547	2.13	3	1	3	2	0	1
GPR68	0	1.29536	1.35309	1.56254	2.01476	1.22773	1.55428	1.32051	1.94234	0.64233	1.3477	1.08553	1.60184	0.93604	1.00593	1	2.19295	1.71446	2.67643	2.6796	1.89838	1.92052	1.92677	1.45342	1	1.68971	1.26976	1.706	1	0	3	4	0	1
HTR2C	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	2.0517	1.5411	0.64233	1.3477	1.64728	1.18568	0.78374	1.02319	1	1.28564	1.91829	0.96446	1.42837	1.89838	1.92052	1.68502	1.44638	1	1.6956	1.13547	2.324	5	0	1	2	0	1
HTR2B	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	1.32051	1.94234	0.64233	1.3477	1.08553	1.60184	0.78374	1.02319	1	1.28564	1.91829	0.96446	1.42837	1.89838	1.92052	1.68502	1.44638	1	1.6956	1.13547	2.222	9	5	1	6	0	1
HRH2	1	2.26395	2.80055	0.73922	1.79965	1.15562	1.58574	2.0517	1.5411	0.64233	1.3477	1.64728	1.18568	0.93604	1.00593	1	1.28564	1.91829	0.96446	1.42837	1.23214	2.45767	1.92677	1.45342	0	1.68971	1.26976	1.565	2	0	2	2	1	1
CHRM4	1	2.40863	2.81089	0.73922	1.79965	1.22773	1.55428	2.39184	4.82159	0.64233	1.3477	2.17655	3.74131	0.93604	1.00593	1	1.28564	1.91829	1.08764	1.18943	1.23214	2.45767	1.92677	1.45342	0	2.59386	5.19462	2.158	17	8	2	2	0	1
CXCR5	1	1.29536	1.35309	0.73922	1.79965	1.22773	1.55428	1.32051	1.94234	1.20678	0.97653	1.08553	1.60184	0.78374	1.02319	1	1.28564	1.91829	0.96446	1.42837	2.8273	3.02442	1.92677	1.45342	1	1.68971	1.26976	0.56	0	0	2	4	1	1
NPFFR2	1	2.26395	2.80055	0.73922	1.79965	1.15562	1.58574	2.0517	1.5411	1.20678	0.97653	1.08553	1.60184	0.93604	1.00593	1	1.59316	1.96026	0.96446	1.42837	1.23214	2.45767	1.67012	1.55083	1	0.83221	1.24499	1.935	2	3	1	6	0	1
HRH1	0	1.29536	1.35309	1.56254	2.01476	1.15562	1.58574	1.32051	1.94234	3.40938	5.16548	1.59542	1.61653	0.93604	1.00593	1	1.28564	1.91829	1.08764	1.18943	1.23214	2.45767	1.92677	1.45342	0	0.83221	1.24499	1.102	17	9	1	2	0	1
CHRM3	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	2.39184	4.82159	0.64233	1.3477	2.17655	3.74131	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	1.23214	2.45767	1.92677	1.45342	0	2.59386	5.19462	1.638	21	9	3	3	0	1
CHRM2	1	2.40863	2.81089	0.73922	1.79965	1.22773	1.55428	2.39184	4.82159	0.64233	1.3477	2.17655	3.74131	0.93604	1.00593	1	1.28564	1.91829	1.08764	1.18943	1.23214	2.45767	1.92677	1.45342	0	2.59386	5.19462	2.378	20	14	2	2	0	1
CHRM1	1	1.29536	1.35309	0.73922	1.79965	1.22773	1.55428	2.39184	4.82159	0.64233	1.3477	2.17655	3.74131	0.93604	1.00593	1	1.28564	1.91829	1.08764	1.18943	1.23214	2.45767	1.92677	1.45342	0	2.59386	5.19462	2.031	13	5	3	2	2	1
NPFFR1	1	2.26395	2.80055	0.73922	1.79965	1.15562	1.58574	1.32051	1.94234	1.20678	0.97653	1.08553	1.60184	0.78374	1.02319	1	1.59316	1.96026	0.96446	1.42837	3.04093	2.73336	1.67012	1.55083	1	0.83221	1.24499	0.901	0	0	2	5	1	1
HCAR3	1	1.29536	1.35309	0.73922	1.79965	1.22773	1.55428	1.32051	1.94234	1.20678	0.97653	1.08553	1.60184	0.93604	1.00593	0	1.59316	1.96026	0.96446	1.42837	1.64318	2.08755	2.41247	3.08545	1	1.6956	1.13547	1.031	1	0	4	4	1	1
HCAR2	1	1.29536	1.35309	0.73922	1.79965	1.22773	1.55428	1.32051	1.94234	1.20678	0.97653	1.08553	1.60184	0.93604	1.00593	1	1.59316	1.96026	0.96446	1.42837	1.64318	2.08755	3.15733	4.14034	1	1.6956	1.13547	1.055	1	0	1	4	1	1
OPRM1	1	2.40863	2.81089	1.56254	2.01476	1.15562	1.58574	1.96388	1.20556	0.64233	1.3477	1.08553	1.60184	0.93604	1.00593	0	1.59316	1.96026	0.96446	1.42837	1.23214	2.45767	2.41247	3.08545	1	1.68971	1.26976	3.239	3	1	2	4	0	1
OPRK1	1	2.40863	2.81089	1.56254	2.01476	1.15562	1.58574	1.96388	1.20556	0.64233	1.3477	1.08553	1.60184	0.93604	1.00593	1	1.59316	1.96026	0.96446	1.42837	1.64318	2.08755	2.41247	3.08545	1	1.68971	1.26976	3.473	2	1	2	5	0	1
GHSR	1	2.40863	2.81089	1.56254	2.01476	1.22773	1.55428	2.99824	3.97219	0.64233	1.3477	1.08553	1.60184	0.78374	1.02319	1	2.19295	1.71446	0.96446	1.42837	1.23214	2.45767	1.68502	1.44638	1	1.68971	1.26976	0.567	0	2	0	3	1	1
MTNR1A	1	1.24589	1.8239	0.73922	1.79965	1.91785	2.00647	1.32051	1.94234	1.20678	0.97653	1.59542	1.61653	0.78374	1.02319	0	2.24821	2.00702	0.96446	1.42837	2.1099	1.69308	1.67012	1.55083	1	0.83221	1.24499	0.807	4	2	1	3	1	1
HCRTR2	1	2.26395	2.80055	0.73922	1.79965	1.15562	1.58574	1.96388	1.20556	1.20678	0.97653	1.64728	1.18568	0.78374	1.02319	1	1.28564	1.91829	0.96446	1.42837	2.1099	1.69308	2.41247	3.08545	1	0.83221	1.24499	-0.503	4	4	3	5	1	1
F2RL1	0	1.29536	1.35309	1.56254	2.01476	2.33312	3.61116	1.96388	1.20556	0.64233	1.3477	1.08553	1.60184	0.78374	1.02319	1	2.32527	2.33954	0.96446	1.42837	1.89838	1.92052	3.15733	4.14034	1	1.6956	1.13547	0.534	2	0	1	2	0	1
FFAR4	1	1.29536	1.35309	1.74845	1.32697	1.91785	2.00647	2.39184	4.82159	0.64233	1.3477	1.64728	1.18568	0.78374	1.02319	1	1.59316	1.96026	2.23041	2.03887	2.8273	3.02442	2.41247	3.08545	1	1.68971	1.26976	0.607	2	4	3	3	2	1
BDKRB2	1	1.29536	1.35309	1.56254	2.01476	1.22773	1.55428	2.62663	1.91853	0.64233	1.3477	1.59542	1.61653	2.82509	1.66748	1	1.59316	1.96026	0.96446	1.42837	1.23214	2.45767	1.68502	1.44638	1	1.6956	1.13547	1.474	2	0	2	1	2	1
APLNR	1	1.29536	1.35309	0.73922	1.79965	1.15562	1.58574	1.32051	1.94234	0.64233	1.3477	2.17655	3.74131	0.78374	1.02319	1	1.28564	1.91829	2.23041	2.03887	2.1099	1.69308	1.92677	1.45342	1	1.68971	1.26976	-0.768	2	0	4	3	0	1
MC3R	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	1.32051	1.94234	1.20678	0.97653	1.08553	1.60184	0.78374	1.02319	0	1.28564	1.91829	2.23041	2.03887	1.23214	2.45767	1.68502	1.44638	1	0.83221	1.24499	1.23	1	2	2	2	0	1
NPY5R	1	1.29536	1.35309	1.74845	1.32697	1.15562	1.58574	2.99824	3.97219	1.20678	0.97653	1.59542	1.61653	0.78374	1.02319	1	2.19295	1.71446	2.23041	2.03887	2.1099	1.69308	1.67012	1.55083	1	1.68971	1.26976	1.807	14	7	1	1	0	1
AVPR2	0	1.29536	1.35309	0.73922	1.79965	1.15562	1.58574	1.96388	1.20556	3.08428	3.63438	1.64728	1.18568	0.78374	1.02319	1	1.59316	1.96026	1.08764	1.18943	1.64318	2.08755	1.68502	1.44638	0	0.83221	1.24499	0.767	0	2	3	1	0	1
DRD5	1	2.26395	2.80055	0.73922	1.79965	1.15562	1.58574	1.32051	1.94234	0.64233	1.3477	1.08553	1.60184	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	1.64318	2.08755	1.68502	1.44638	1	0.83221	1.24499	2.094	2	1	3	9	1	1
DRD2	1	2.26395	2.80055	1.74845	1.32697	1.15562	1.58574	1.32051	1.94234	0.64233	1.3477	1.59542	1.61653	0.93604	1.00593	0	2.32527	2.33954	0.96446	1.42837	1.23214	2.45767	1.68502	1.44638	0	0.83221	1.24499	0.464	14	4	1	3	0	1
CCKAR	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	1.32051	1.94234	0.64233	1.3477	1.64728	1.18568	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	2.8273	3.02442	2.41247	3.08545	1	0.83221	1.24499	1.03	8	0	3	5	0	1
DRD1	1	2.26395	2.80055	0.73922	1.79965	1.91785	2.00647	1.32051	1.94234	0.64233	1.3477	1.08553	1.60184	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	1.64318	2.08755	1.68502	1.44638	1	0.83221	1.24499	1.354	5	2	3	4	0	1
ADRB1	1	1.24589	1.8239	0.73922	1.79965	1.15562	1.58574	3.03281	4.10476	1.20678	0.97653	1.64728	1.18568	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	3.04093	2.73336	1.68502	1.44638	0	0.83221	1.24499	0.644	4	3	6	3	1	1
ADRB2	1	1.24589	1.8239	0.73922	1.79965	1.15562	1.58574	2.39184	4.82159	1.20678	0.97653	1.08553	1.60184	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	3.04093	2.73336	1.68502	1.44638	0	0.83221	1.24499	1.46	5	2	4	3	0	1
SSTR2	1	1.24589	1.8239	1.56254	2.01476	1.15562	1.58574	2.0517	1.5411	0.64233	1.3477	1.59542	1.61653	0.93604	1.00593	1	1.59316	1.96026	0.96446	1.42837	1.23214	2.45767	1.68502	1.44638	1	1.68971	1.26976	0.637	4	1	1	3	0	1
OPRD1	1	2.40863	2.81089	1.56254	2.01476	1.15562	1.58574	1.96388	1.20556	0.64233	1.3477	1.08553	1.60184	0.93604	1.00593	0	1.59316	1.96026	0.96446	1.42837	1.64318	2.08755	2.41247	3.08545	1	1.68971	1.26976	1.8	2	1	4	4	0	1
OXTR	1	1.29536	1.35309	0.73922	1.79965	2.33312	3.61116	2.0517	1.5411	0.64233	1.3477	1.64728	1.18568	0.78374	1.02319	1	2.19295	1.71446	1.08764	1.18943	1.23214	2.45767	1.68502	1.44638	0	0.83221	1.24499	1.233	3	3	3	4	0	1
LPAR2	1	1.24589	1.8239	1.74845	1.32697	1.22773	1.55428	2.62663	1.91853	1.20678	0.97653	1.08553	1.60184	0.93604	1.00593	0	1.28564	1.91829	1.08764	1.18943	1.64318	2.08755	3.60343	4.81066	0	1.6956	1.13547	-2.017	0	2	4	1	0	1
AGTR1	1	2.15777	2.30906	0.73922	1.79965	1.22773	1.55428	1.96388	1.20556	0.64233	1.3477	1.59542	1.61653	0.78374	1.02319	1	1.59316	1.96026	1.08764	1.18943	2.8273	3.02442	3.91069	4.79965	1	3.97882	4.25893	0.542	4	0	1	4	0	1
LPAR1	0	2.40863	2.81089	1.74845	1.32697	2.33312	3.61116	2.62663	1.91853	1.20678	0.97653	1.59542	1.61653	0.93604	1.00593	0	1.28564	1.91829	0.96446	1.42837	1.23214	2.45767	3.60343	4.81066	0	0.83221	1.24499	-0.77	0	0	2	1	0	1
HTR1A	1	2.15777	2.30906	1.74845	1.32697	1.15562	1.58574	1.32051	1.94234	1.20678	0.97653	1.64728	1.18568	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	1.23214	2.45767	1.68502	1.44638	0	0.83221	1.24499	0.404	11	8	2	4	0	1
HTR1B	0	1.24589	1.8239	1.74845	1.32697	1.15562	1.58574	1.32051	1.94234	1.20678	0.97653	1.64728	1.18568	0.78374	1.02319	0	2.19295	1.71446	1.08764	1.18943	1.23214	2.45767	1.68502	1.44638	0	0.83221	1.24499	-0.236	6	8	1	3	0	1
ADRA1A	1	1.24589	1.8239	1.56254	2.01476	1.15562	1.58574	1.32051	1.94234	0.64233	1.3477	1.59542	1.61653	0.93604	1.00593	0	1.59316	1.96026	0.96446	1.42837	1.64318	2.08755	1.68502	1.44638	0	0.83221	1.24499	0.613	8	2	8	6	1	0
BDKRB1	1	1.29536	1.35309	1.56254	2.01476	1.22773	1.55428	2.62663	1.91853	0.64233	1.3477	5.1974	3.5555	2.82509	1.66748	1	1.59316	1.96026	2.23041	2.03887	1.89838	1.92052	1.92677	1.45342	1	0.83221	1.24499	0.754	1	1	1	4	2	0
ADORA2B	1	2.26395	2.80055	0.73922	1.79965	1.22773	1.55428	2.62663	1.91853	1.20678	0.97653	1.08553	1.60184	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	2.1099	1.69308	2.63832	2.65873	1	1.6956	1.13547	-0.201	0	0	1	2	0	0
GPR4	1	1.29536	1.35309	1.56254	2.01476	1.22773	1.55428	2.0517	1.5411	0.64233	1.3477	1.08553	1.60184	0.93604	1.00593	1	1.28564	1.91829	2.23041	2.03887	1.89838	1.92052	1.92677	1.45342	1	1.68971	1.26976	0.248	0	1	1	1	1	0
ADORA2A	1	2.26395	2.80055	0.73922	1.79965	1.91785	2.00647	2.62663	1.91853	1.20678	0.97653	1.59542	1.61653	0.78374	1.02319	1	1.28564	1.91829	1.08764	1.18943	2.1099	1.69308	1.67012	1.55083	0	0.83221	1.24499	0.722	2	0	1	3	1	0
LTB4R2	1	2.15777	2.30906	1.74845	1.32697	1.91785	2.00647	1.96388	1.20556	0.64233	1.3477	1.64728	1.18568	0.93604	1.00593	0	1.28564	1.91829	1.08764	1.18943	4.66033	2.82146	1.92677	1.45342	1	1.68971	1.26976	1.487	0	0	0	5	1	0
ADORA3	1	1.24589	1.8239	0.73922	1.79965	1.15562	1.58574	1.96388	1.20556	1.20678	0.97653	1.08553	1.60184	0.93604	1.00593	1	1.28564	1.91829	0.96446	1.42837	2.1099	1.69308	1.67012	1.55083	0	1.6956	1.13547	0.362	2	0	2	1	0	0
GPBAR1	0	3.78475	1.80577	0.73922	1.79965	3.69611	3.01448	1.96388	1.20556	5.95868	3.31228	5.12976	3.3708	0.93604	1.00593	0	3.31871	2.40871	3.95831	2.77796	4.66033	2.82146	1.92677	1.45342	0	6.2525	6.46795	-0.206	0	1	1	0	2	0
MTNR1B	1	1.24589	1.8239	0.73922	1.79965	1.22773	1.55428	1.96388	1.20556	1.20678	0.97653	1.59542	1.61653	0.78374	1.02319	0	2.24821	2.00702	0.96446	1.42837	2.1099	1.69308	1.67012	1.55083	1	1.6956	1.13547	1.738	3	0	1	1	1	0
PTGER1	0	5.85056	5.24664	0.73922	1.79965	1.91785	2.00647	2.62663	1.91853	1.20678	0.97653	1.08553	1.60184	0.93604	1.00593	1	3.31871	2.40871	1.08764	1.18943	4.75028	2.82413	3.64538	2.81442	0	1.6956	1.13547	-0.027	0	0	0	1	1	0
PTGER3	0	2.40863	2.81089	5.93256	3.19414	1.15562	1.58574	1.96388	1.20556	1.20678	0.97653	1.08553	1.60184	0.78374	1.02319	1	2.32527	2.33954	1.08764	1.18943	3.98687	2.77494	1.67012	1.55083	1	1.6956	1.13547	1.287	1	1	3	1	1	0
FFAR2	0	1.29536	1.35309	1.74845	1.32697	1.22773	1.55428	1.96388	1.20556	0.64233	1.3477	1.59542	1.61653	0.93604	1.00593	1	2.32527	2.33954	2.67643	2.6796	1.89838	1.92052	1.92677	1.45342	0	1.68971	1.26976	0.377	0	1	0	4	0	0
GPR65	0	1.29536	1.35309	1.56254	2.01476	1.22773	1.55428	1.96388	1.20556	1.20678	0.97653	1.08553	1.60184	0.93604	1.00593	1	1.59316	1.96026	1.08764	1.18943	1.64318	2.08755	1.68502	1.44638	1	1.68971	1.26976	0.845	2	0	3	2	1	0
GNRHR	0	5.85056	5.24664	1.74845	1.32697	1.22773	1.55428	1.96388	1.20556	0.64233	1.3477	1.64728	1.18568	0.78374	1.02319	1	1.28564	1.91829	4.50832	2.96496	3.04093	2.73336	1.92677	1.45342	1	0.83221	1.24499	-5.246	1	1	0	1	0	0
CXCR4	1	1.24589	1.8239	1.56254	2.01476	5.0602	3.45084	1.32051	1.94234	0.64233	1.3477	1.64728	1.18568	0.78374	1.02319	0	1.59316	1.96026	2.23041	2.03887	2.8273	3.02442	1.92677	1.45342	1	1.68971	1.26976	-0.559	1	0	0	3	0	0
HTR1D	0	1.29536	1.35309	1.74845	1.32697	1.15562	1.58574	3.0873	2.93971	1.20678	0.97653	1.64728	1.18568	0.78374	1.02319	0	2.19295	1.71446	1.08764	1.18943	1.23214	2.45767	1.68502	1.44638	0	0.83221	1.24499	-0.38	4	1	0	4	0	0
FFAR3	0	1.29536	1.35309	1.74845	1.32697	1.22773	1.55428	2.62663	1.91853	0.64233	1.3477	1.59542	1.61653	0.93604	1.00593	1	2.32527	2.33954	2.67643	2.6796	1.89838	1.92052	1.92677	1.45342	1	1.6956	1.13547	0.869	0	0	3	3	2	0
GPR84	1	1.29536	1.35309	1.74845	1.32697	1.15562	1.58574	1.96388	1.20556	1.20678	0.97653	1.64728	1.18568	0.78374	1.02319	0	2.24821	2.00702	0.96446	1.42837	2.1099	1.69308	1.68502	1.44638	0	1.68971	1.26976	0.563	7	3	0	2	0	0
PTGFR	0	5.85056	5.24664	1.74845	1.32697	3.8002	2.75722	2.0517	1.5411	1.20678	0.97653	1.59542	1.61653	0.93604	1.00593	1	3.38545	3.0773	1.08764	1.18943	4.75028	2.82413	1.68502	1.44638	1	1.6956	1.13547	-0.687	2	1	2	0	1	0
