GPCR	398bip	398bin	401bip	401bin	480bip	480bin	481bip	481bin	920bip	920bin	966pos	967pos	TILL	A_TIL	C_TIL	E_TIL	F_TIL	G_TIL	H_TIL	K_TIL	L_TIL	P_TIL	R_TIL	S_TIL	V_TIL	M_CTL	Y_CTL	O
ADRA2B	1.25583	1.19549	1.49915	1.16542	1.33903	1.89899	2.6035	3.36593	1.99259	2.75856	0	1	163	19	3	20	0	22	2	7	11	16	14	14	8	0	0	1
P2RY13	1.18241	1.5549	1.94445	2.1349	2.07727	2.14623	2.55114	2.65002	0.9256	1.62572	1	1	14	0	0	0	0	0	0	4	0	0	2	3	0	2	1	1
UTS2R	1.18241	1.5549	3.40613	4.0224	1.33903	1.89899	2.34924	2.4402	0.9256	1.62572	1	1	14	2	0	0	1	0	0	1	0	1	6	2	0	0	1	1
MRGPRX1	1.18241	1.5549	2.03781	1.61362	2.32357	2.04744	2.34924	2.4402	0.9256	1.62572	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TACR1	2.63575	2.13706	1.33481	1.50308	2.07727	2.14623	4.01296	4.65945	0.9256	1.62572	1	1	19	2	0	2	0	1	1	0	0	1	1	4	1	2	3	1
HTR2C	1.25583	1.19549	1.49915	1.16542	1.33903	1.89899	3.39717	1.72471	3.29908	3.03158	1	1	64	5	2	6	1	3	2	5	6	4	9	2	0	1	4	1
MRGPRX2	1.18241	1.5549	2.03781	1.61362	2.07727	2.14623	2.37689	2.51553	0.9256	1.62572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
OXGR1	1.25583	1.19549	3.8745	4.80632	2.07727	2.14623	2.43121	2.34685	1.50809	1.5262	1	1	10	0	1	0	0	1	1	0	2	0	0	1	0	0	2	1
CNR1	1.18241	1.5549	1.33481	1.50308	2.07727	2.14623	3.19823	3.93933	1.50809	1.5262	0	0	36	2	0	1	0	2	3	2	0	1	4	3	3	3	0	1
PTGER3	2.63575	2.13706	1.49915	1.16542	2.07727	2.14623	2.37689	2.51553	2.4785	1.71515	1	1	20	4	1	0	0	1	0	1	0	0	3	4	1	1	2	1
MC3R	1.25583	1.19549	1.49915	1.16542	2.32357	2.04744	2.37689	2.51553	1.50809	1.5262	1	1	22	4	0	0	0	1	2	1	2	3	2	1	2	1	0	1
MCHR2	2.01436	2.12264	1.33481	1.50308	2.32357	2.04744	2.43121	2.34685	0.9256	1.62572	0	1	21	1	2	1	0	0	0	2	0	2	2	1	1	1	0	1
HCRTR1	3.06106	2.41878	1.49915	1.16542	1.33903	1.89899	2.43121	2.34685	1.50809	1.5262	1	1	50	5	0	3	1	5	0	2	5	4	6	3	2	0	0	1
HTR4	2.63575	2.13706	1.49915	1.16542	1.33903	1.89899	3.02894	3.39027	2.4785	1.71515	0	0	34	4	0	2	0	1	4	1	1	1	4	5	0	0	1	1
TACR3	1.25583	1.19549	1.33481	1.50308	2.07727	2.14623	3.45659	4.09338	0.9256	1.62572	1	1	19	1	1	2	0	3	1	2	1	1	0	0	0	3	4	1
LPAR3	1.25583	1.19549	1.49915	1.16542	5.43718	5.21768	4.67764	5.09536	1.50809	1.5262	0	1	20	0	0	0	0	1	1	2	1	1	4	4	1	3	3	1
FFAR2	1.18241	1.5549	1.94445	2.1349	1.38581	1.44037	2.5421	3.17348	1.50809	1.5262	0	0	10	1	0	0	0	1	0	0	2	1	1	1	1	1	1	1
FFAR3	1.18241	1.5549	1.94445	2.1349	1.38581	1.44037	2.55114	2.65002	1.50809	1.5262	1	1	8	0	0	0	0	3	1	0	0	0	3	1	0	1	1	1
GHSR	2.63575	2.13706	1.49915	1.16542	1.38581	1.44037	2.37689	2.51553	0.9256	1.62572	1	1	18	2	0	0	0	2	0	0	1	0	5	1	2	1	1	1
FFAR1	1.25583	1.19549	2.92111	3.23891	1.33903	1.89899	2.37689	2.51553	1.50809	1.5262	0	0	9	1	0	0	0	1	1	0	1	0	3	1	0	0	2	1
P2RY6	1.25583	1.19549	1.33481	1.50308	1.38581	1.44037	1.98323	1.73091	3.20766	2.67214	1	1	14	2	1	2	0	1	0	0	0	2	2	0	1	0	1	1
MC5R	1.25583	1.19549	1.33481	1.50308	1.33903	1.89899	2.37689	2.51553	1.50809	1.5262	1	1	20	4	0	0	0	1	1	1	1	1	4	2	1	1	0	1
FFAR4	1.18241	1.5549	1.49915	1.16542	1.38581	1.44037	2.34924	2.4402	2.4785	1.71515	1	1	24	2	0	1	0	0	1	2	2	0	3	5	2	1	1	1
BDKRB1	1.18241	1.5549	1.94445	2.1349	1.33903	1.89899	2.43121	2.34685	0.9256	1.62572	1	1	15	0	1	2	0	2	0	1	0	0	5	1	1	0	1	1
NMUR2	3.06106	2.41878	1.33481	1.50308	2.07727	2.14623	3.19823	3.93933	0.9256	1.62572	1	1	19	2	1	2	0	1	0	3	1	1	1	1	0	2	1	1
BDKRB2	1.18241	1.5549	1.94445	2.1349	1.33903	1.89899	1.98323	1.73091	1.50809	1.5262	1	1	13	0	0	2	1	0	0	2	0	0	1	0	0	2	1	1
HTR7	2.01436	2.12264	1.49915	1.16542	1.33903	1.89899	2.37689	2.51553	0.9256	1.62572	1	1	55	4	1	5	3	2	2	8	5	3	5	4	4	3	2	1
DRD5	3.06106	2.41878	1.33481	1.50308	1.33903	1.89899	3.39717	1.72471	2.4785	1.71515	1	1	38	7	2	2	0	0	1	2	2	1	5	7	1	3	3	1
CCKAR	1.25583	1.19549	2.03781	1.61362	3.11336	3.35949	2.5421	3.17348	0.9256	1.62572	1	1	67	6	1	4	1	3	0	8	5	3	7	13	0	3	1	1
LPAR2	1.25583	1.19549	1.33481	1.50308	1.38581	1.44037	3.02894	3.39027	1.50809	1.5262	0	0	20	1	1	2	0	0	2	0	0	1	6	1	2	3	1	1
GALR2	1.18241	1.5549	2.03781	1.61362	2.58363	2.04795	1.98323	1.73091	3.20766	2.67214	1	1	16	5	0	0	0	2	0	0	0	1	3	1	2	1	0	1
NMBR	2.01436	2.12264	1.94445	2.1349	1.38581	1.44037	2.43121	2.34685	0.9256	1.62572	1	1	21	1	0	3	0	1	2	3	1	1	0	1	0	4	3	1
SSTR4	1.25583	1.19549	1.33481	1.50308	2.58363	2.04795	1.98323	1.73091	0.9256	1.62572	0	0	15	3	0	0	0	1	0	0	1	0	5	1	1	1	2	1
GPR132	3.31119	3.38947	2.92111	3.23891	1.33903	1.89899	2.5421	3.17348	0.9256	1.62572	1	1	10	2	0	0	0	1	0	1	1	0	0	2	0	1	1	1
F2RL3	1.18241	1.5549	2.03781	1.61362	1.38581	1.44037	2.87683	3.07397	1.50809	1.5262	1	1	6	2	0	0	0	1	0	0	0	0	2	1	0	1	2	1
F2RL2	1.18241	1.5549	2.03781	1.61362	2.58363	2.04795	2.5421	3.17348	1.50809	1.5262	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
F2RL1	1.18241	1.5549	1.94445	2.1349	1.33903	1.89899	2.34924	2.4402	1.50809	1.5262	1	1	29	1	0	2	0	0	1	6	1	0	2	8	1	0	2	1
LPAR1	2.63575	2.13706	1.33481	1.50308	5.43718	5.21768	3.02894	3.39027	1.50809	1.5262	0	0	20	0	0	0	0	1	1	0	0	1	7	3	0	1	1	1
LPAR6	1.25583	1.19549	1.94445	2.1349	2.32357	2.04744	2.55114	2.65002	1.50809	1.5262	1	1	12	0	0	0	0	0	0	2	1	1	1	2	1	1	1	1
LPAR4	1.18241	1.5549	1.94445	2.1349	2.32357	2.04744	2.55114	2.65002	2.4785	1.71515	1	1	12	1	0	0	0	1	0	1	1	1	1	1	0	2	2	1
LPAR5	1.18241	1.5549	1.94445	2.1349	3.11336	3.35949	2.5421	3.17348	1.50809	1.5262	1	1	10	2	0	0	0	0	0	0	0	1	2	1	0	0	1	1
AVPR1B	1.18241	1.5549	2.03781	1.61362	2.58363	2.04795	1.98323	1.73091	0.9256	1.62572	1	1	49	4	1	0	0	5	0	3	3	3	6	6	3	2	0	0
GPR17	1.18241	1.5549	1.94445	2.1349	1.38581	1.44037	2.5421	3.17348	1.50809	1.5262	1	1	10	0	0	1	0	1	0	1	2	0	3	0	1	1	1	0
PTGFR	5.74798	5.70167	5.42058	5.95854	2.32357	2.04744	2.37689	2.51553	2.4785	1.71515	1	1	16	0	0	0	1	1	2	2	1	0	3	2	1	0	1	0
AVPR1A	1.18241	1.5549	2.03781	1.61362	1.33903	1.89899	1.98323	1.73091	0.9256	1.62572	1	1	42	6	2	1	2	4	0	4	2	1	3	6	4	4	1	0
NPFFR2	3.06106	2.41878	1.49915	1.16542	2.32357	2.04744	2.55114	2.65002	3.20766	2.67214	1	1	22	2	0	1	1	1	2	2	0	1	3	1	3	6	7	0
GALR1	1.25583	1.19549	2.03781	1.61362	2.07727	2.14623	2.43121	2.34685	0.9256	1.62572	0	1	14	1	0	1	0	0	1	5	1	0	0	3	0	0	1	0
HTR2B	1.25583	1.19549	1.49915	1.16542	2.58363	2.04795	3.39717	1.72471	3.29908	3.03158	1	1	74	3	1	3	1	3	0	9	6	5	5	8	5	3	5	0
ADORA1	1.25583	1.19549	1.49915	1.16542	3.78326	3.34894	1.98323	1.73091	1.50809	1.5262	0	0	21	1	0	0	0	2	0	5	1	1	1	3	1	0	0	0
ADORA3	1.25583	1.19549	1.49915	1.16542	2.07727	2.14623	3.71614	3.1726	1.50809	1.5262	0	0	20	1	0	1	1	2	0	2	3	0	2	3	0	0	2	0
S1PR1	1.18241	1.5549	1.33481	1.50308	1.38581	1.44037	3.02894	3.39027	1.50809	1.5262	0	1	22	1	0	1	1	0	0	3	1	0	6	5	0	4	0	0
OPRK1	2.63575	2.13706	1.33481	1.50308	2.32357	2.04744	1.98323	1.73091	0.9256	1.62572	1	1	15	0	0	1	0	1	0	2	2	0	3	3	1	3	1	0
SSTR1	1.25583	1.19549	1.33481	1.50308	1.38581	1.44037	1.98323	1.73091	0.9256	1.62572	0	0	15	2	0	0	0	1	0	2	1	0	3	1	1	1	3	0
GNRHR	5.74798	5.70167	5.42058	5.95854	1.33903	1.89899	2.34924	2.4402	3.20766	2.67214	1	1	23	1	0	1	0	0	2	1	3	2	2	1	1	0	1	0
PTGER2	5.74798	5.70167	5.42058	5.95854	4.26735	3.32304	2.37689	2.51553	4.12671	2.86236	0	1	33	2	1	2	0	7	1	0	1	2	10	5	1	1	0	0
GPR55	5.74798	5.70167	5.42058	5.95854	1.38581	1.44037	1.98323	1.73091	1.50809	1.5262	1	1	11	0	0	0	0	1	1	0	1	0	2	0	1	1	1	0
PTGDR	5.74798	5.70167	5.42058	5.95854	2.58363	2.04795	2.37689	2.51553	4.12671	2.86236	1	1	34	4	2	3	0	1	2	0	2	4	7	2	0	1	1	0
HTR1A	2.01436	2.12264	1.33481	1.50308	1.38581	1.44037	2.37689	2.51553	2.4785	1.71515	0	1	117	16	2	10	2	12	3	11	6	8	12	8	8	0	1	0
CYSLTR2	1.25583	1.19549	1.94445	2.1349	2.32357	2.04744	3.71614	3.1726	1.50809	1.5262	1	1	13	0	0	2	0	1	0	1	2	1	1	2	3	0	1	0
GPR34	1.18241	1.5549	1.94445	2.1349	1.33903	1.89899	1.98323	1.73091	1.50809	1.5262	1	1	15	0	0	0	1	1	0	3	1	1	3	3	0	2	1	0
PTGER4	1.25583	1.19549	2.03781	1.61362	4.26735	3.32304	2.55114	2.65002	4.5521	3.3582	1	1	52	11	0	1	3	3	3	0	3	3	11	6	1	2	0	0
CYSLTR1	1.18241	1.5549	2.03781	1.61362	1.38581	1.44037	2.55114	2.65002	4.12671	2.86236	1	1	11	0	0	0	0	0	0	4	2	0	0	3	0	0	1	0
ADORA2A	3.06106	2.41878	1.49915	1.16542	2.07727	2.14623	2.43121	2.34685	0.9256	1.62572	0	1	23	1	0	2	0	1	0	2	3	2	4	2	0	0	2	0
ADORA2B	3.06106	2.41878	1.49915	1.16542	2.07727	2.14623	2.34924	2.4402	0.9256	1.62572	1	1	19	0	1	1	0	0	1	0	3	0	4	1	0	0	3	0
CNR2	1.18241	1.5549	1.33481	1.50308	1.38581	1.44037	3.19823	3.93933	1.50809	1.5262	0	0	23	2	0	0	0	2	3	0	2	1	3	2	2	0	0	0
TBXA2R	1.18241	1.5549	2.03781	1.61362	2.07727	2.14623	3.71614	3.1726	2.4785	1.71515	1	1	17	2	1	1	0	1	2	0	0	1	2	1	1	0	0	0
P2RY14	5.74798	5.70167	5.42058	5.95854	1.33903	1.89899	2.55114	2.65002	0.9256	1.62572	1	1	14	0	0	0	1	0	1	2	1	0	1	5	1	0	0	0
PTGIR	1.18241	1.5549	2.03781	1.61362	2.58363	2.04795	2.37689	2.51553	4.12671	2.86236	1	1	23	0	1	1	0	3	1	1	1	2	5	1	0	0	0	0
TACR2	1.25583	1.19549	1.33481	1.50308	2.07727	2.14623	3.45659	4.09338	0.9256	1.62572	1	1	20	4	0	0	0	2	3	0	2	1	3	0	1	1	1	0
ADRA2A	1.25583	1.19549	1.49915	1.16542	2.32357	2.04744	2.6035	3.36593	1.99259	2.75856	0	0	145	19	0	11	0	24	1	5	6	24	22	9	4	0	0	0
P2RY12	5.74798	5.70167	5.42058	5.95854	1.33903	1.89899	2.5421	3.17348	1.99259	2.75856	1	1	14	0	0	0	0	2	0	1	0	1	3	1	3	2	0	0
ADRA2C	2.01436	2.12264	1.49915	1.16542	1.33903	1.89899	2.6035	3.36593	2.4785	1.71515	0	1	139	25	2	9	2	23	1	3	7	10	25	14	5	0	0	0
SSTR3	1.25583	1.19549	1.49915	1.16542	1.38581	1.44037	1.98323	1.73091	0.9256	1.62572	1	1	18	2	1	0	0	1	0	0	0	1	7	3	1	2	2	0
LTB4R2	2.01436	2.12264	2.03781	1.61362	2.58363	2.04795	1.98323	1.73091	0.9256	1.62572	1	1	10	1	0	0	0	3	1	0	0	0	3	1	0	2	1	0
HRH4	1.25583	1.19549	1.94445	2.1349	2.07727	2.14623	3.39717	1.72471	1.50809	1.5262	0	1	96	5	2	4	4	4	6	4	8	2	12	22	4	0	0	0
SSTR2	1.25583	1.19549	1.33481	1.50308	1.33903	1.89899	1.98323	1.73091	0.9256	1.62572	1	1	15	0	0	0	0	2	0	4	0	0	2	5	1	0	0	0
HRH2	3.06106	2.41878	1.49915	1.16542	2.32357	2.04744	2.6035	3.36593	2.4785	1.71515	0	0	19	3	0	0	0	0	1	2	0	0	3	2	0	0	1	0
HRH3	2.63575	2.13706	1.94445	2.1349	1.38581	1.44037	3.39717	1.72471	0.9256	1.62572	0	0	127	13	2	9	2	20	2	5	7	14	14	18	4	0	0	0
HRH1	1.18241	1.5549	1.49915	1.16542	2.07727	2.14623	3.39717	1.72471	2.4785	1.71515	0	0	192	8	2	13	5	15	7	17	14	11	14	23	9	0	0	0
HTR2A	1.25583	1.19549	1.49915	1.16542	1.33903	1.89899	3.39717	1.72471	3.29908	3.03158	1	1	56	3	1	3	3	3	1	3	6	2	5	11	1	2	4	0
GPR84	1.18241	1.5549	2.03781	1.61362	1.33903	1.89899	2.37689	2.51553	3.29908	3.03158	0	1	108	16	0	9	1	7	2	7	5	7	8	16	3	1	1	0
FPR2	1.25583	1.19549	2.92111	3.23891	1.38581	1.44037	2.43121	2.34685	0.9256	1.62572	1	1	7	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0
PRLHR	2.01436	2.12264	1.33481	1.50308	1.38581	1.44037	1.98323	1.73091	0.9256	1.62572	1	1	20	2	1	0	0	1	0	0	0	1	4	1	3	1	0	0
KISS1R	1.25583	1.19549	1.33481	1.50308	2.07727	2.14623	1.98323	1.73091	0.9256	1.62572	1	1	26	7	0	1	0	3	0	0	2	2	3	1	4	0	0	0
S1PR5	1.18241	1.5549	2.03781	1.61362	2.58363	2.04795	3.02894	3.39027	1.50809	1.5262	0	1	26	5	0	0	0	2	0	1	1	3	8	1	0	0	0	0
NPBWR1	1.18241	1.5549	2.03781	1.61362	1.38581	1.44037	2.43121	2.34685	1.50809	1.5262	1	1	15	4	0	1	0	0	2	1	2	0	2	1	0	0	0	0
MC1R	2.01436	2.12264	1.33481	1.50308	1.33903	1.89899	2.43121	2.34685	1.50809	1.5262	1	1	21	2	1	0	1	2	3	1	1	1	3	0	1	0	0	0
OPRL1	2.63575	2.13706	1.33481	1.50308	3.11336	3.35949	1.98323	1.73091	0.9256	1.62572	1	1	15	0	0	1	0	2	0	1	2	0	4	2	1	0	0	0
FPR1	1.25583	1.19549	2.92111	3.23891	2.07727	2.14623	1.98323	1.73091	3.20766	2.67214	1	1	7	0	0	0	0	1	1	2	1	0	0	0	0	1	0	0
CHRM5	2.63575	2.13706	1.94445	2.1349	1.38581	1.44037	3.39717	1.72471	1.50809	1.5262	0	0	216	19	6	17	5	8	4	23	12	18	14	23	13	1	1	0
CHRM4	2.63575	2.13706	1.33481	1.50308	1.38581	1.44037	3.39717	1.72471	1.50809	1.5262	0	0	172	24	1	13	2	6	2	17	9	24	15	12	8	0	1	0
CHRM3	1.25583	1.19549	1.94445	2.1349	1.38581	1.44037	3.39717	1.72471	1.50809	1.5262	0	0	227	16	2	17	7	10	4	21	19	8	12	37	9	1	1	0
CHRM2	2.63575	2.13706	1.33481	1.50308	1.38581	1.44037	3.39717	1.72471	1.50809	1.5262	0	0	168	6	3	11	0	9	2	20	3	13	7	20	14	1	1	0
CHRM1	1.18241	1.5549	1.94445	2.1349	1.38581	1.44037	3.39717	1.72471	1.50809	1.5262	0	0	144	10	4	19	1	15	0	13	7	15	13	17	5	0	0	0
NPFFR1	3.06106	2.41878	1.49915	1.16542	3.78326	3.34894	2.55114	2.65002	3.20766	2.67214	1	1	21	5	1	2	0	3	0	0	0	4	3	1	0	0	2	0
HTR6	1.25583	1.19549	1.33481	1.50308	1.38581	1.44037	3.39717	1.72471	1.50809	1.5262	0	0	44	6	0	2	0	2	1	2	3	3	5	5	4	1	0	0
OPRM1	2.63575	2.13706	1.33481	1.50308	2.32357	2.04744	1.98323	1.73091	0.9256	1.62572	1	1	15	0	0	1	0	1	0	3	1	0	2	3	1	0	0	0
GPR174	1.18241	1.5549	1.94445	2.1349	2.07727	2.14623	3.87827	4.17382	3.20766	2.67214	1	1	12	1	0	1	0	1	0	1	1	1	0	0	0	1	1	0
MCHR1	1.25583	1.19549	1.49915	1.16542	1.38581	1.44037	2.43121	2.34685	5.18521	3.87327	0	1	15	2	0	0	0	0	0	0	1	1	3	4	1	0	0	0
MTNR1B	1.25583	1.19549	1.49915	1.16542	2.58363	2.04795	2.55114	2.65002	3.29908	3.03158	1	1	18	2	1	1	0	0	0	3	3	2	3	2	0	0	1	0
MTNR1A	1.25583	1.19549	1.49915	1.16542	1.33903	1.89899	2.55114	2.65002	3.29908	3.03158	1	1	18	0	0	0	0	0	0	4	2	3	3	0	2	1	1	0
HTR1F	1.25583	1.19549	1.33481	1.50308	2.32357	2.04744	3.39717	1.72471	1.50809	1.5262	0	0	79	2	0	7	2	3	3	10	6	1	7	14	5	0	0	0
P2RY4	1.18241	1.5549	1.94445	2.1349	2.07727	2.14623	1.98323	1.73091	1.50809	1.5262	1	1	12	1	0	0	0	1	0	0	1	2	0	4	0	0	1	0
ADRA1A	1.25583	1.19549	1.49915	1.16542	2.32357	2.04744	3.39717	1.72471	0.9256	1.62572	0	0	55	4	0	2	2	5	2	8	5	1	6	8	2	2	2	0
NMUR1	3.06106	2.41878	1.33481	1.50308	2.07727	2.14623	3.02894	3.39027	0.9256	1.62572	1	1	33	4	1	2	0	3	1	1	4	0	8	2	0	2	0	0
ADRA1B	1.25583	1.19549	1.49915	1.16542	2.32357	2.04744	3.39717	1.72471	0.9256	1.62572	0	0	58	3	0	4	3	2	3	9	5	1	4	8	2	1	3	0
APLNR	1.18241	1.5549	1.49915	1.16542	1.38581	1.44037	2.55114	2.65002	0.9256	1.62572	1	1	14	1	0	2	1	2	1	2	1	0	3	0	0	3	2	0
ADRA1D	1.25583	1.19549	1.49915	1.16542	1.33903	1.89899	3.39717	1.72471	0.9256	1.62572	0	0	61	7	1	3	2	7	3	4	5	0	10	8	4	1	3	0
AVPR2	1.18241	1.5549	2.03781	1.61362	2.58363	2.04795	1.98323	1.73091	0.9256	1.62572	0	0	33	4	0	2	0	7	2	0	1	4	6	4	2	1	1	0
DRD2	3.06106	2.41878	1.49915	1.16542	2.32357	2.04744	2.37689	2.51553	1.50809	1.5262	0	0	151	9	2	8	3	5	9	14	10	15	19	15	4	0	0	0
DRD3	3.06106	2.41878	1.49915	1.16542	1.33903	1.89899	2.37689	2.51553	1.50809	1.5262	0	0	108	3	2	6	2	9	1	8	15	10	14	10	3	0	0	0
DRD1	3.06106	2.41878	1.49915	1.16542	2.32357	2.04744	3.39717	1.72471	2.4785	1.71515	1	1	45	5	2	3	2	2	1	5	1	2	4	4	2	1	3	0
GALR3	1.18241	1.5549	2.03781	1.61362	2.58363	2.04795	1.98323	1.73091	3.20766	2.67214	1	1	18	9	0	1	0	2	0	0	0	1	3	0	1	0	0	0
ADRB1	1.25583	1.19549	1.33481	1.50308	1.38581	1.44037	3.39717	1.72471	2.4785	1.71515	0	0	67	12	1	1	1	5	0	4	4	16	9	5	3	0	0	0
ADRB2	1.25583	1.19549	1.33481	1.50308	2.07727	2.14623	3.39717	1.72471	2.4785	1.71515	0	0	41	0	1	2	2	4	2	5	4	0	5	4	2	0	3	0
ADRB3	1.25583	1.19549	1.33481	1.50308	1.38581	1.44037	3.39717	1.72471	2.4785	1.71515	0	0	55	6	2	4	1	5	0	0	8	12	9	3	2	0	0	0
SSTR5	1.25583	1.19549	1.49915	1.16542	1.38581	1.44037	1.98323	1.73091	0.9256	1.62572	1	1	14	2	1	0	0	2	0	0	0	0	5	1	3	1	0	0
OPRD1	2.63575	2.13706	1.33481	1.50308	2.58363	2.04795	1.98323	1.73091	0.9256	1.62572	1	1	15	0	0	1	0	1	0	2	2	0	3	4	1	0	0	0
GPR119	3.31119	3.38947	1.49915	1.16542	1.38581	1.44037	3.02894	3.39027	1.99259	2.75856	0	0	27	3	0	1	0	3	2	1	0	2	3	4	0	1	2	0
OXTR	1.18241	1.5549	2.03781	1.61362	1.38581	1.44037	1.98323	1.73091	0.9256	1.62572	0	0	42	13	0	2	0	4	0	3	4	1	3	3	3	1	1	0
HTR1D	1.18241	1.5549	1.33481	1.50308	2.32357	2.04744	3.39717	1.72471	1.50809	1.5262	0	1	71	7	1	2	3	5	5	4	9	3	6	12	1	0	0	0
HTR1E	1.25583	1.19549	1.33481	1.50308	1.33903	1.89899	3.39717	1.72471	1.50809	1.5262	0	0	76	2	2	3	6	2	3	4	4	4	6	14	1	0	0	0
AGTR1	2.01436	2.12264	1.33481	1.50308	2.32357	2.04744	2.87683	3.07397	0.9256	1.62572	1	1	12	1	0	1	0	0	0	4	0	1	1	0	0	1	3	0
HCRTR2	3.06106	2.41878	1.49915	1.16542	1.33903	1.89899	2.43121	2.34685	1.50809	1.5262	1	1	48	4	1	1	0	3	0	4	1	6	5	5	4	0	0	0
DRD4	3.06106	2.41878	1.49915	1.16542	2.58363	2.04795	2.34924	2.4402	0.9256	1.62572	0	0	169	23	14	1	0	19	1	2	9	54	16	3	2	0	0	0
HTR1B	1.25583	1.19549	1.49915	1.16542	2.07727	2.14623	3.39717	1.72471	1.50809	1.5262	0	1	73	4	0	2	0	3	0	6	6	5	8	11	8	1	0	0
