from	to
Q6NV75	GPR153
Q6NXT4	SLC30A6
Q6P2H3	CEP85
Q6P3W7	SCYL2
Q6PGP7	SKIC3
Q6PJI9	WDR59
Q6PRD1	GPR179
Q6QNK2	ADGRD1
Q6U736	OPN5
Q6UVJ0	SASS6
Q6W5P4	NPSR1
Q6WCQ1	MPRIP
Q6WKZ4	RAB11FIP1
Q6Y7W6	GIGYF2
Q7L2H7	EIF3M
Q7L804	RAB11FIP2
Q7RTR8	TAS2R42
Q7RTX0	TAS1R3
Q7RTX1	TAS1R1
Q7Z2T5	TRMT1L
Q7Z2W4	ZC3HAV1
Q7Z3T1	OR2W3
Q7Z3U7	MON2
Q7Z478	DHX29
Q7Z4H7	HAUS6
Q7Z601	GPR142
Q7Z602	GPR141
Q7Z7M1	ADGRD2
Q86SM5	MRGPRG
Q86SM8	MRGPRE
Q86SP6	GPR149
Q86SQ3	ADGRE4P
Q86SQ4	ADGRG6
Q86SQ6	ADGRA1
Q86UK7	ZNF598
Q86V48	LUZP1
Q86VZ1	P2RY8
Q86W33	TPRA1
Q86Y34	ADGRG3
Q8IUD2	ERC1
Q8IW35	CEP97
Q8IWC1	MAP7D3
Q8IWK6	ADGRA3
Q8IX90	SKA3
Q8IXE1	OR4N5
Q8IYL9	GPR65
Q8IZ08	GPR135
Q8IZA0	KIAA0319L
Q8IZD4	DCP1B
Q8IZF2	ADGRF5
Q8IZF3	ADGRF4
Q8IZF4	ADGRG5
Q8IZF5	ADGRF3
Q8IZF6	ADGRG4
Q8IZF7	ADGRF2P
Q8IZH2	XRN1
Q8IZP9	ADGRG2
Q8N0Y3	OR4N4
Q8N0Y5	OR8I2
Q8N127	OR5AS1
Q8N146	OR8H3
Q8N148	OR6V1
Q8N162	OR8H2
Q8N1F7	NUP93
Q8N349	OR2L13
Q8N5U6	RNF10
Q8N628	OR2C3
Q8N6U8	GPR161
Q8N999	RLIG1
Q8NDI1	EHBP1
Q8NDV2	GPR26
Q8NEB9	PIK3C3
Q8NEY1	NAV1
Q8NFJ5	GPRC5A
Q8NFJ6	PROKR2
Q8NFM4	ADCY4
Q8NFN8	GPR156
Q8NG75	OR5T1
Q8NG76	OR2T33
Q8NG77	OR2T12
Q8NG78	OR8G5
Q8NG80	OR2L5
Q8NG81	OR2M7
Q8NG83	OR2M3
Q8NG84	OR2AK2
Q8NG85	OR2L3
Q8NG92	OR13H1
Q8NG94	OR11H1
Q8NG95	OR7G3
Q8NG97	OR2Z1
Q8NG98	OR7D4
Q8NG99	OR7G2
Q8NGA0	OR7G1
Q8NGA1	OR1M1
Q8NGA5	OR10H4
Q8NGA6	OR10H5
Q8NGA8	OR4F17
Q8NGB2	OR4C5
Q8NGB4	OR4S1
Q8NGB6	OR4M2
Q8NGB8	OR4F15
Q8NGB9	OR4F6
Q8NGC0	OR5AU1
Q8NGC1	OR11G2
Q8NGC2	OR4E2
Q8NGC3	OR10G2
Q8NGC4	OR10G3
Q8NGC5	OR6J1
Q8NGC6	OR4K17
Q8NGC7	OR11H6
Q8NGC8	OR11H7
Q8NGC9	OR11H4
Q8NGD1	OR4N2
Q8NGD2	OR4K2
Q8NGD3	OR4K5
Q8NGD4	OR4K1
Q8NGD5	OR4K14
Q8NGE0	OR10AD1
Q8NGE1	OR6C4
Q8NGE2	OR2AP1
Q8NGE3	OR10P1
Q8NGE5	OR10A7
Q8NGE7	OR9K2
Q8NGE8	OR4D9
Q8NGE9	OR9Q2
Q8NGF0	OR52B6
Q8NGF1	OR52R1
Q8NGF3	OR51D1
Q8NGF4	OR5AP2
Q8NGF6	OR10W1
Q8NGF7	OR5B17
Q8NGF8	OR4B1
Q8NGF9	OR4X2
Q8NGG0	OR8J3
Q8NGG1	OR8J2
Q8NGG2	OR5T2
Q8NGG3	OR5T3
Q8NGG4	OR8H1
Q8NGG5	OR8K1
Q8NGG6	OR8B12
Q8NGG7	OR8A1
Q8NGG8	OR8B3
Q8NGH3	OR2D3
Q8NGH5	OR56A1
Q8NGH7	OR52L1
Q8NGH8	OR56A4
Q8NGH9	OR52E4
Q8NGI0	OR52N2
Q8NGI2	OR52N4
Q8NGI3	OR56B1
Q8NGI4	OR4D11
Q8NGI6	OR4D10
Q8NGI7	OR10V1
Q8NGI8	OR5AN1
Q8NGI9	OR5A2
Q8NGJ0	OR5A1
Q8NGJ1	OR4D6
Q8NGJ2	OR52H1
Q8NGJ3	OR52E1
Q8NGJ4	OR52E2
Q8NGJ5	OR51L1
Q8NGJ6	OR51A4
Q8NGJ7	OR51A2
Q8NGJ8	OR51S1
Q8NGJ9	OR51T1
Q8NGK0	OR51G2
Q8NGK1	OR51G1
Q8NGK2	OR52B4
Q8NGK3	OR52K2
Q8NGK4	OR52K1
Q8NGK5	OR52M1
Q8NGK6	OR52I1
Q8NGK9	OR5D16
Q8NGL0	OR5L2
Q8NGL1	OR5D18
Q8NGL2	OR5L1
Q8NGL3	OR5D14
Q8NGL4	OR5D13
Q8NGL6	OR4A15
Q8NGL7	OR4P4
Q8NGL9	OR4C16
Q8NGM1	OR4C15
Q8NGM8	OR6M1
Q8NGM9	OR8D4
Q8NGN0	OR4D5
Q8NGN1	OR6T1
Q8NGN2	OR10S1
Q8NGN3	OR10G4
Q8NGN4	OR10G9
Q8NGN5	OR10G8
Q8NGN6	OR10G7
Q8NGP0	OR4C13
Q8NGP2	OR8J1
Q8NGP3	OR5M9
Q8NGP4	OR5M3
Q8NGP6	OR5M8
Q8NGP8	OR5M1
Q8NGP9	OR5AR1
Q8NGQ1	OR9G4
Q8NGQ2	OR6Q1
Q8NGQ3	OR1S2
Q8NGQ4	OR10Q1
Q8NGQ5	OR9Q1
Q8NGQ6	OR9I1
Q8NGR1	OR13A1
Q8NGR2	OR1L6
Q8NGR3	OR1K1
Q8NGR4	OR5C1
Q8NGR5	OR1L4
Q8NGR6	OR1B1
Q8NGR8	OR1L8
Q8NGR9	OR1N2
Q8NGS0	OR1N1
Q8NGS1	OR1J4
Q8NGS2	OR1J2
Q8NGS3	OR1J1
Q8NGS4	OR13F1
Q8NGS5	OR13C4
Q8NGS6	OR13C3
Q8NGS7	OR13C8
Q8NGS8	OR13C5
Q8NGS9	OR13C2
Q8NGT0	OR13C9
Q8NGT1	OR2K2
Q8NGT2	OR13J1
Q8NGT5	OR9A2
Q8NGT7	OR2A12
Q8NGT9	OR2A1
Q8NGT9	OR2A42
Q8NGU1	OR9A1P
Q8NGU2	OR9A4
Q8NGU9	GPR150
Q8NGV0	OR2Y1
Q8NGV5	OR13D1
Q8NGV6	OR5H6
Q8NGV7	OR5H2
Q8NGW1	OR6B3
Q8NGW6	OR6K6
Q8NGX0	OR11L1
Q8NGX1	OR2T34
Q8NGX2	OR2T35
Q8NGX3	OR10T2
Q8NGX5	OR10K1
Q8NGX6	OR10R2
Q8NGX8	OR6Y1
Q8NGX9	OR6P1
Q8NGY0	OR10X1
Q8NGY1	OR10Z1
Q8NGY2	OR6K2
Q8NGY3	OR6K3
Q8NGY5	OR6N1
Q8NGY6	OR6N2
Q8NGY9	OR2L8
Q8NGZ0	OR2AJ1
Q8NGZ2	OR14K1
Q8NGZ3	OR13G1
Q8NGZ4	OR2G3
Q8NGZ5	OR2G2
Q8NGZ6	OR6F1
Q8NGZ9	OR2T10
Q8NH00	OR2T4
Q8NH01	OR2T11
Q8NH02	OR2T29
Q8NH03	OR2T3
Q8NH04	OR2T27
Q8NH05	OR4Q3
Q8NH06	OR1P1
Q8NH07	OR11H2
Q8NH08	OR10AC1
Q8NH09	OR8S1
Q8NH10	OR8U1
Q8NH16	OR2L2
Q8NH18	OR5J2
Q8NH19	OR10AG1
Q8NH21	OR4F5
Q8NH37	OR4C3
Q8NH40	OR6S1
Q8NH41	OR4K15
Q8NH42	OR4K13
Q8NH43	OR4L1
Q8NH48	OR5B3
Q8NH49	OR4X1
Q8NH50	OR8K5
Q8NH51	OR8K3
Q8NH53	OR52N1
Q8NH54	OR56A3
Q8NH55	OR52E5
Q8NH56	OR52N5
Q8NH57	OR52P1
Q8NH59	OR51Q1
Q8NH60	OR52J3
Q8NH61	OR51F2
Q8NH63	OR51H1
Q8NH64	OR51A7
Q8NH67	OR52I2
Q8NH69	OR5W2
Q8NH70	OR4A16
Q8NH72	OR4C6
Q8NH73	OR4S2
Q8NH74	OR10A6
Q8NH76	OR56B4
Q8NH79	OR6X1
Q8NH81	OR10G6
Q8NH83	OR4A5
Q8NH85	OR8U3
Q8NH87	OR9G1
Q8NH90	OR5AK2
Q8NH92	OR1S1
Q8NH93	OR1L3
Q8NH94	OR1L1
Q8NHA4	OR2AE1
Q8NHB1	OR2V1
Q8NHB7	OR5K1
Q8NHB8	OR5K2
Q8NHC4	OR10J5
Q8NHC5	OR14A16
Q8NHC6	OR14L1
Q8NHC7	OR14C36
Q8NHC8	OR2T6
Q8TBA6	GOLGA5
Q8TCB6	OR51E1
Q8TCG1	CIP2A
Q8TCW9	PROKR1
Q8TD19	NEK9
Q8TD55	PLEKHO2
Q8TDS4	HCAR2
Q8TDS5	OXER1
Q8TDS7	MRGPRD
Q8TDT2	GPR152
Q8TDU6	GPBAR1
Q8TDU9	RXFP4
Q8TDV0	GPR151
Q8TDV2	GPR148
Q8TDV5	GPR119
Q8TE23	TAS1R2
Q8TEU7	RAPGEF6
Q8WX93	PALLD
Q8WXD0	RXFP2
Q8WXG9	ADGRV1
Q8WXW3	PIBF1
Q8WZ84	OR8D1
Q8WZ92	OR5P2
Q8WZ94	OR5P3
Q8WZA6	OR1E3
Q92538	GBF1
Q92564	DCUN1D4
Q92572	AP3S1
Q92625	ANKS1A
Q92633	LPAR1
Q92667	AKAP1
Q92692	NECTIN2
Q92797	SYMPK
Q92847	GHSR
Q92997	DVL3
Q969F8	KISS1R
Q969N4	TAAR8
Q969S3	ZNF622
Q969V1	MCHR2
Q96A65	EXOC4
Q96AM1	MRGPRF
Q96BY7	ATG2B
Q96CH1	GPR146
Q96D09	GPRASP2
Q96DN5	TBC1D31
Q96EK5	KIFBP
Q96G91	P2RY11
Q96JG6	VPS50
Q96JH7	VCPIP1
Q96K17	BTF3L4
Q96K78	ADGRG7
Q96KK4	OR10C1
Q96L93	KIF16B
Q96LA9	MRGPRX4
Q96LB0	MRGPRX3
Q96LB1	MRGPRX2
Q96LB2	MRGPRX1
Q96LB3	IFT74
Q96M89	CCDC138
Q96N19	GPR137
Q96P65	QRFPR
Q96P66	GPR101
Q96P67	GPR82
Q96P68	OXGR1
Q96P69	GPR78
Q96P70	IPO9
Q96P88	GNRHR2
Q96PE1	ADGRA2
Q96PZ0	PUS7
Q96QD8	SLC38A2
Q96QU8	XPO6
Q96R08	OR5B12
Q96R09	OR5B2
Q96R27	OR2M4
Q96R28	OR2M2
Q96R30	OR2V2
Q96R45	OR2A7
Q96R47	OR2A14
Q96R48	OR2A5
Q96R54	OR14A2
Q96R67	OR4C12
Q96R69	OR4F4
Q96R72	OR4K3
Q96RA2	OR7D2
Q96RB7	OR5M11
Q96RC9	OR8B4
Q96RD0	OR8B2
Q96RD1	OR6C1
Q96RD2	OR52B2
Q96RD3	OR52E6
Q96RF0	SNX18
Q96RI0	F2RL3
Q96RI8	TAAR6
Q96RI9	TAAR9
Q96RJ0	TAAR1
Q96RS0	TGS1
Q96SB4	SRPK1
Q99463	NPY6R
Q99500	S1PR3
Q99527	GPER1
Q99615	DNAJC7
Q99677	LPAR4
Q99678	GPR20
Q99679	GPR21
Q99680	GPR22
Q99705	MCHR1
Q99788	CMKLR1
Q99835	SMO
Q9BPV8	P2RY13
Q9BR77	CCDC77
Q9BSJ2	TUBGCP2
Q9BSJ8	ESYT1
Q9BT25	HAUS8
Q9BTE6	AARSD1
Q9BXA5	SUCNR1
Q9BXB1	LGR4
Q9BXC0	HCAR1
Q9BXC1	GPR174
Q9BXF6	RAB11FIP5
Q9BXW9	FANCD2
Q9BY15	ADGRE3
Q9BY21	GPR87
Q9BY89	KIAA1671
Q9BZJ6	GPR63
Q9BZJ7	GPR62
Q9BZJ8	GPR61
Q9C0B0	UNK
Q9GZK3	OR2B2
Q9GZK4	OR2H1
Q9GZK6	OR2J1
Q9GZK7	OR11A1
Q9GZM6	OR8D2
Q9GZN0	GPR88
Q9GZQ4	NMUR2
Q9GZQ6	NPFFR1
Q9H0K1	SIK2
Q9H0L4	CSTF2T
Q9H1C0	LPAR5
Q9H1K0	RBSN
Q9H1Y3	OPN3
Q9H205	OR2AG1
Q9H207	OR10A5
Q9H208	OR10A2
Q9H209	OR10A4
Q9H210	OR2D2
Q9H228	S1PR5
Q9H244	P2RY12
Q9H255	OR51E2
Q9H270	VPS11
Q9H2C5	OR52A5
Q9H2C8	OR51V1
Q9H2G2	SLK
Q9H2H9	SLC38A1
Q9H2J7	SLC6A15
Q9H339	OR51B5
Q9H340	OR51B6
Q9H341	OR51M1
Q9H342	OR51J1
Q9H343	OR51I1
Q9H344	OR51I2
Q9H346	OR52D1
Q9H3N8	HRH4
Q9H461	FZD8
Q9H6R7	WDCP
Q9H6U6	BCAS3
Q9H892	TTC12
Q9H9A6	LRRC40
Q9HAP2	MLXIP
Q9HAR2	ADGRL3
Q9HB89	NMUR1
Q9HBW0	LPAR2
Q9HBW9	ADGRL4
Q9HBX8	LGR6
Q9HBX9	RXFP1
Q9HC97	GPR35
Q9HCE1	MOV10
Q9HCJ0	TNRC6C
Q9HCN4	GPN1
Q9HCU4	CELSR2
Q9NPB9	ACKR4
Q9NPC1	LTB4R2
Q9NPG1	FZD3
Q9NQ84	GPRC5C
Q9NQC7	CYLD
Q9NQC8	IFT46
Q9NQN1	OR2S2
Q9NQS5	GPR84
Q9NR12	PDLIM7
Q9NRA8	EIF4ENIF1
Q9NRL3	STRN4
Q9NS66	GPR173
Q9NS67	GPR27
Q9NS75	CYSLTR2
Q9NS87	KIF15
Q9NSD7	RXFP3
Q9NSV4	DIAPH3
Q9NVM4	PRMT7
Q9NYL9	TMOD3
Q9NYM4	GPR83
Q9NYQ6	CELSR1
Q9NYQ7	CELSR3
Q9NYV7	TAS2R16
Q9NYV8	TAS2R14
Q9NYV9	TAS2R13
Q9NYW0	TAS2R10
Q9NYW1	TAS2R9
Q9NYW2	TAS2R8
Q9NYW3	TAS2R7
Q9NYW4	TAS2R5
Q9NYW5	TAS2R4
Q9NYW6	TAS2R3
Q9NYW7	TAS2R1
Q9NZ52	GGA3
Q9NZD1	GPRC5D
Q9NZH0	GPRC5B
Q9NZP0	OR6C3
Q9NZP2	OR6C2
Q9NZP5	OR5AC2
Q9P1P4	TAAR3P
Q9P1P5	TAAR2
Q9P1Q5	OR1A1
Q9P1Y5	CAMSAP3
Q9P209	CEP72
Q9P296	C5AR2
Q9P2M7	CGN
Q9UBS5	GABBR1
Q9UBY5	LPAR3
Q9UDY2	TJP2
Q9UGF5	OR14J1
Q9UGF6	OR5V1
Q9UGF7	OR12D3
Q9UGP4	LIMD1
Q9UHB6	LIMA1
Q9UHM6	OPN4
Q9UHX3	ADGRE2
Q9UIQ6	LNPEP
Q9UJ42	GPR160
Q9UJC3	HOOK1
Q9UJX4	ANAPC5
Q9UKL2	OR52A1
Q9UKP6	UTS2R
Q9ULH7	MRTFB
Q9ULV1	FZD4
Q9ULW2	FZD10
Q9UNW8	GPR132
Q9UNY4	TTF2
Q9UNZ2	NSFL1C
Q9UP38	FZD1
Q9UPC5	GPR34
Q9UPN4	CEP131
Q9UPQ9	TNRC6B
Q9UPU7	TBC1D2B
Q9UPW5	AGTPBP1
Q9Y271	CYSLTR1
Q9Y285	FARSA
Q9Y2D8	SSX2IP
Q9Y2T5	GPR52
Q9Y2T6	GPR55
Q9Y2X7	GIT1
Q9Y3N9	OR2W1
Q9Y450	HBS1L
Q9Y4A9	OR10H1
Q9Y4E8	USP15
Q9Y4K4	MAP4K5
Q9Y4P8	WIPI2
Q9Y585	OR1A2
Q9Y5K5	UCHL5
Q9Y5K6	CD2AP
Q9Y5N1	HRH3
Q9Y5P0	OR51B4
Q9Y5P1	OR51B2
Q9Y5X1	SNX9
Q9Y5X5	NPFFR2
Q9Y5Y3	GPR45
Q9Y5Y4	PTGDR2
Q9Y613	FHOD1
Q9Y653	ADGRG1
Q9Y6A5	TACC3
Q9Y6E0	STK24
